event_date,oturum_sayisi,toplam_izleme_suresi_dk,ortalama_sure,yil,ay,hafta_gunu,gun_adi,ay_baslangic,ay_sonu,outlier_oturum_iqr,outlier_sure_iqr,outlier_oturum_z,outlier_sure_z,dow_sin,dow_cos,month_sin,month_cos,oturum_sayisi_lag1,oturum_sayisi_lag2,oturum_sayisi_lag7,oturum_sayisi_lag14,oturum_sayisi_lag28,toplam_izleme_suresi_dk_lag1,toplam_izleme_suresi_dk_lag2,toplam_izleme_suresi_dk_lag7,toplam_izleme_suresi_dk_lag14,toplam_izleme_suresi_dk_lag28,ortalama_sure_lag1,ortalama_sure_lag2,ortalama_sure_lag7,ortalama_sure_lag14,ortalama_sure_lag28,oturum_sayisi_roll7_mean,oturum_sayisi_roll7_std,oturum_sayisi_roll14_mean,oturum_sayisi_roll14_std,oturum_sayisi_roll28_mean,oturum_sayisi_roll28_std,toplam_izleme_suresi_dk_roll7_mean,toplam_izleme_suresi_dk_roll7_std,toplam_izleme_suresi_dk_roll14_mean,toplam_izleme_suresi_dk_roll14_std,toplam_izleme_suresi_dk_roll28_mean,toplam_izleme_suresi_dk_roll28_std,ortalama_sure_roll7_mean,ortalama_sure_roll7_std,ortalama_sure_roll14_mean,ortalama_sure_roll14_std,ortalama_sure_roll28_mean,ortalama_sure_roll28_std,oturum_sayisi_diff1,oturum_sayisi_diff7,toplam_izleme_suresi_dk_diff1,toplam_izleme_suresi_dk_diff7,ortalama_sure_diff1,ortalama_sure_diff7,is_weekend,is_holiday,kullanici_sayisi,month,dow
2024-08-24,282097.0,11476396.51666664,40.68244794048373,2024.0,8.0,5.0,Saturday,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,256905.0,655496.0,427272.0,1597381.0,,13617741.466666654,18043675.333333302,10714533.566666678,31047616.599999897,,53.00691487774334,27.526751243841765,25.076610605578363,19.43657561971746,,857221.8571428572,1085649.9953894638,782558.2142857143,817326.4974708869,,,22735905.40952384,26846789.33636171,20047023.591666672,19797586.05653203,,,29.576369224884104,10.73021383014325,28.00078279352487,8.08912987639521,,,25192.0,-145175.0,-2141344.950000014,761862.949999962,-12.324466937259608,15.60583733490537,1.0,0.0,,,
2024-08-25,324956.0,12642533.616666662,38.90537062453582,2024.0,8.0,6.0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,282097.0,256905.0,405271.0,751682.0,,11476396.51666664,13617741.466666654,11146995.249999994,15247456.766666677,,40.68244794048373,53.00691487774334,27.50504045441197,20.28445109323713,,836482.5714285715,1096564.055795626,688609.3571428572,791651.1309793367,,,22844742.973809537,26791419.10588228,18649079.30000001,19651503.18028657,,,31.80577455844201,11.248187652977617,29.518345102151027,8.347635959126313,,,42859.0,-80315.0,1166137.100000022,1495538.3666666672,-1.7770773159479134,11.400330170123851,1.0,0.0,,,
2024-08-26,262031.0,14081279.683333317,53.73898387340932,2024.0,8.0,0.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,324956.0,282097.0,371604.0,352082.0,,12642533.616666662,11476396.51666664,10693684.616666667,10832054.666666647,,38.90537062453582,40.68244794048373,28.777097707954347,30.76571556247308,,825009.0,1102233.4057745363,658128.9285714285,797231.1934667254,,,23058391.31190478,26688352.893202588,18463013.36071429,19698464.15703244,,,33.434393154174,11.34659650596577,30.84841078295808,8.24604214133003,,,-62925.0,-109573.0,1438746.0666666552,3387595.0666666497,14.833613248873498,24.96188616545497,0.0,0.0,,,
2024-08-27,4955349.0,95946307.816667,19.362169610388086,2024.0,8.0,1.0,Tuesday,0.0,0.0,1.0,1.0,1.0,0.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,262031.0,324956.0,583271.0,348594.0,,14081279.683333317,12642533.616666662,11604962.183333358,10026280.666666657,,53.73898387340932,38.90537062453582,19.896346952502967,28.762057484255767,,809355.7142857143,1110492.671581359,651696.7142857143,800247.9473972119,,,23542333.464285728,26456480.75109165,18695100.86190477,19620627.541934032,,,37.000376892096135,13.379361201016357,32.489358519453525,10.266589982263024,,,4693318.0,4372078.0,81865028.13333368,84341345.63333365,-34.37681426302123,-0.5341773421148801,0.0,0.0,,,
2024-08-28,779371.0,23693427.94999997,30.400705119897925,2024.0,8.0,2.0,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,4955349.0,262031.0,3300734.0,1193810.0,,95946307.816667,14081279.683333317,83329745.45000015,34006987.16666669,,19.362169610388086,53.73898387340932,25.245822732155982,28.4860967546483,,1433938.2857142857,1906418.37613728,980750.6428571428,1393358.9469415052,,,35591097.126190536,37155748.70473211,24832245.658333365,28243303.102299124,,,36.92406584322258,13.49420609736088,31.81793795703441,10.821475606315651,,,-4175978.0,-2521363.0,-72252879.86666703,-59636317.50000018,11.038535509509838,5.154882387741942,0.0,0.0,,,
2024-08-29,538667.0,18126238.08333332,33.65017363850638,2024.0,8.0,3.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,779371.0,4955349.0,655496.0,384621.0,,23693427.94999997,95946307.816667,18043675.333333302,10853326.966666682,,30.400705119897925,19.362169610388086,27.526751243841765,28.21823812705672,,1073743.5714285714,1724429.2107100114,951147.8571428572,1392886.5969983044,,,27071623.19761908,30653449.797044743,24095562.857142888,28119822.48275639,,,37.6604776129,12.877230202260847,31.95469569740937,10.788176902652795,,,-240704.0,-116829.0,-5567189.866666649,82562.75000001863,3.249468518608456,6.123422394664615,0.0,0.0,,,
2024-08-30,444479.0,21082129.166666657,47.43110285675287,2024.0,8.0,4.0,Friday,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,538667.0,779371.0,256905.0,327092.0,1262029.0,18126238.08333332,23693427.94999997,13617741.466666654,9493269.583333336,19221847.233333275,33.65017363850638,30.400705119897925,53.00691487774334,29.02323989377097,15.23090771553845,1057053.7142857143,1729709.159727218,962151.1428571428,1388669.0557387264,1113135.9642857143,1119125.4521288616,27083417.87619051,30649412.73271311,24615056.508333363,27922854.17652872,24407494.60178574,21747588.46981845,38.53525224070923,12.267652990622622,32.342691091084355,10.741035101940827,26.665850842597244,10.24879351440144,-94188.0,187574.0,2955891.083333336,7464387.700000003,13.780929218246492,-5.575812020990469,0.0,1.0,,,
2024-08-31,372526.0,17744203.099999998,47.63211990572469,2024.0,8.0,5.0,Saturday,0.0,1.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,444479.0,538667.0,282097.0,427272.0,1544194.0,21082129.166666657,18126238.08333332,11476396.51666664,10714533.566666678,19096046.48333333,47.43110285675287,33.65017363850638,40.68244794048373,25.076610605578363,12.366351950165155,1083850.0,1716651.1096015794,970535.9285714284,1384888.853370966,1083937.75,1125742.3887107542,28149758.976190507,30229815.43327544,25442832.19285717,27610108.7526762,24473933.24226193,21733996.95379489,37.738707666282025,11.315458565457272,33.65753844558306,11.40932728831578,27.81585781192633,10.714177294402052,-71953.0,90429.0,-3337926.066666659,6267806.583333358,0.2010170489718206,6.94967196524096,1.0,0.0,,,
2024-09-01,362305.0,17217672.35,47.52259104897807,2024.0,9.0,6.0,Sunday,1.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210292e-16,372526.0,444479.0,324956.0,405271.0,1656177.0,17744203.099999998,21082129.166666657,12642533.616666662,11146995.249999994,25068029.14999989,47.63211990572469,47.43110285675287,38.90537062453582,27.50504045441197,15.13608095632284,1096768.4285714286,1709939.177864119,966625.5,1386617.04737009,1042092.4642857144,1129769.4303466587,29045159.916666705,29742541.9902643,25944951.44523812,27384655.650742225,24425653.1214286,21747882.971893888,38.73151794703073,11.906244219191295,35.26864625273637,11.693400461199582,29.07534952462488,10.901931764097986,-10221.0,37349.0,-526530.7499999963,4575138.73333334,-0.1095288567466212,8.617220424442252,1.0,0.0,,,
2024-09-02,343698.0,15151281.7,44.08312442900453,2024.0,9.0,0.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210292e-16,362305.0,372526.0,262031.0,371604.0,1034387.0,17217672.35,17744203.099999998,14081279.683333317,10693684.616666667,20146461.199999973,47.52259104897807,47.63211990572469,53.73898387340932,28.777097707954347,19.476715387954386,1102104.0,1707185.5384775845,963556.5,1388001.923024092,995882.75,1130182.7744561736,29698751.16428576,29369955.925018743,26378571.238095265,27179609.542576432,24145283.23571432,21789857.059088346,39.96254943623676,12.363902972501208,36.69847129520538,11.89320096476048,30.23201059936257,11.084765042318727,-18607.0,81667.0,-2066390.6500000025,1070002.0166666824,-3.439466619973544,-9.65585944440479,0.0,0.0,,,
2024-09-03,280239.0,14983037.333333353,53.46521124230872,2024.0,9.0,1.0,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210292e-16,343698.0,362305.0,4955349.0,583271.0,2751232.0,15151281.7,17217672.35,95946307.816667,11604962.183333358,56415498.70000026,44.08312442900453,47.52259104897807,19.362169610388086,19.896346952502967,20.50554031793766,1113770.7142857143,1700754.685753427,961563.2142857144,1388937.1301958354,971215.2857142856,1136829.226302111,29851608.59523813,29277766.765988845,26696971.029761933,27007295.791482743,23966883.96785717,21844189.715891365,38.583140944178936,11.038313565592992,37.79175891813754,11.812242776275264,31.11081092225722,11.175530962941137,-63459.0,-4675110.0,-168244.36666664667,-80963270.48333365,9.382086813304191,34.10304163192063,0.0,0.0,,,
2024-09-04,278504.0,10913430.666666651,39.185902775782935,2024.0,9.0,2.0,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210292e-16,280239.0,343698.0,779371.0,3300734.0,993381.0,14983037.333333353,15151281.7,23693427.94999997,83329745.45000015,19277131.98333331,53.46521124230872,44.08312442900453,30.400705119897925,25.245822732155982,19.405577500811177,445897.8571428572,168360.39071233466,939918.0714285716,1397619.9848294002,882965.5357142857,1088410.373888809,18285427.09761904,3142584.551235206,26938262.11190479,26876862.72586871,22487153.20476193,20949711.27877302,43.45500403445332,8.336177439185859,40.18953493883794,11.296012750509394,32.28794202669904,11.738740684934593,-1735.0,-500867.0,-4069606.666666701,-12779997.283333318,-14.279308466525784,8.78519765588501,0.0,0.0,,,
2024-09-05,305342.0,10421212.116666676,34.12963862379455,2024.0,9.0,3.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.4338837391175582,-0.900968867902419,-1.0,-1.8369701987210292e-16,278504.0,280239.0,538667.0,655496.0,2881456.0,10913430.666666651,14983037.333333353,18126238.08333332,18043675.333333302,50183514.133333705,39.185902775782935,53.46521124230872,33.65017363850638,27.526751243841765,17.41602652732983,374345.4285714286,92240.12424619168,724044.5,1228039.0318100802,857434.2142857143,1094094.1332078015,16459713.199999996,3189102.9427536502,21765668.19880953,21649250.103424307,22188449.58630955,21056528.3456545,44.71003227100832,6.503024425474583,41.18525494195416,10.460957005911306,32.99438221509089,11.528065298868071,26838.0,-233325.0,-492218.54999997467,-7705025.966666644,-5.056264151988387,0.4794649852881676,0.0,0.0,,,
